CLAVE,DESCRIPCION,PRECIOS,
7500000007374,JUMEX MORA AZUL CHUPON  12/600ML         ,$103.81,
7500000007399,LIMPIADOR DE TENIS EL OSO 30/125 ML       ,$625.09,
7500000007474,VLD ARAMO LUMINOSA#3 24 PZ                   ,$254.97,
7500000007480,VASO CRISTAL NEON #10 20/30                    ,$733.54,
7500000007545,JUGO JUMEX BIDA GUAYABA 1 LT                  ,$115.24,
7500000007547,JUMEX BIDA UVA 12/1 LT                             ,$115.24,
7500000007548,JUMEX BIDA MANGO 12/1 LT                         ,$115.24,
7500000007555,AJO PICADO HERDEZ 24/160 GR                                 ,$253.90,
7500000007556,CEBOLLA HERDEZ PICADA 210 GR                                ,$190.02,
7500000007582,FOCO GEO POWER ESPIRAL 24 WATS (LA-149) 50 PZA              ,"$1,372.22",
7500000007585,JAB LAV 123 ANTIBACTERIAL20/350 GR                          ,$178.33,
7500000007600,JUMEX BIDA FRESA 12/500ML                       ,$64.31,
7500000007628,AGRANEL CHILE ANCHO                                         ,$93.29,
7500000007633,AGRANEL CHILE GUAJILLO                                      ,$80.83,
7500000007712,GARBANZOS HERDEZ 400 GR                                     ,$0.00,
7500000007751,LECHE NIDO NUTRI-RINDES 36/240 GR          ,$635.65,
7500000008010,TANG PIÑA 12/8/15 GR                                 ,$286.59,
7500000008011,TANG HORCHATA 12/8/15 GR                       ,$291.12,
7500000008021,MOLE DOÑA MARIA ROJO 24/230 GR             ,$582.47,
7500000008087,FRUTS ARCOIRIS 15/104 GR                                    ,$134.07,
7500000008160,MINI MAMUT EXH 12/32/12 GR                     ,$259.05,
7500000008162,LIM BREF DESINCLORO FRESCURA 15/1 LT     ,$263.96,
7500000008232,CERILLO TALISMAN 10/5 PZ                                    ,"$1,186.04",
7500000008250,VASO DE PLASTICO JAGUAR NO.12  20/50 ,$466.98,
7500000008267,PLATO REYMA TERMICO PH #4 20/25 PZ        ,$206.87,
7500000008274,BL CLOROX 15/930 ML                                         ,$107.00,
7500000008374,JAB LAV 123 FRESCA BLANCURA 20/350 GR                       ,$178.33,
7500000008376,JAB 1-2-3 SUAVIZANTE Y JAZMIN 20/350 GR                     ,$178.33,
7500000008434,CAFE NESCAFE CLASICO 4/1 KG                                 ,"$1,249.72",
7500000008440,AGRANEL MAIZ POZOLERO                                       ,$16.70,
7500000008612,LIM PINOL 15/828 ML                                   ,$211.04,
7500000008726,VLD ECOLG ESPIRITU DIVINO I C/12PZAS       ,$260.07,
7500000008741,CHICHAROS LA COSTEÑA 24/220G                                ,$115.38,
7500000008816,GELATINA GARI FRESA AGUA 10/850 GR                          ,$474.44,
7500000008963,ATUN NAIR ACEITE 24/130 GR                                  ,$208.06,
7500000009030,DT MAESTRO LIMPIO BIODEG 32/250 GR                          ,$198.38,
7500000009162,PAÑAL DIAPRO CONFORT MEDIANO 4/10 PZ   ,$191.45,
7500000009163,TF KOTEX PANTY LARGO 24/44 PZ                 ,$616.30,
7500000009170,DURAZNO FALANI ALMIBAR MITAD 12/820 GR                      ,$321.64,
7500000009171,KLEENEX BOUTIQUE PAÑUELO 16/3/70 UNI    ,$366.95,
7500000009176,SERVITOALLA KLEENEX 12/1/100 HJ              ,$383.96,
7500000009181,TOALLA HUMEDA HUGGIES TINA 8/80 PZ       ,$318.91,
7500000009199,PH REGIO R3 ALMENDRAS 12/4/189 HJS        ,$254.85,
7500000009269,TOHU ABSORSEC 12/20 PZ                            ,$67.90,
7500000009294,CER ZUCARITAS KELLOGGS 50/30 GR                             ,$231.82,
7500000009301,CER FROOT LOOPS 50/25 GR                                    ,$231.82,
7500000009353,PAÑAL BABY SENS UNISEX MEDIANO 3X38S    ,$326.28,
7500000009358,PAÑAL BABY SENS UNISEX MEDIANO 4X14S    ,$158.51,
7500000009360,PAÑAL BABY SENS UNISEX  EX GRANDE ,$200.17,
7500000009425,SP PASTILARA MUNICION 20/200 GR             ,$70.56,
7500000009442,VASO CRISTAL NEON 16 OZ 30/20 OZ            ,$974.89,
7500000009443,VASO CRISTAL NEON N°10 OZ 20/30 PZ         ,$733.54,
7500000009444,VASO CRISTAL NEON N°16 OZ 1/5 PZ            ,$974.89,
7500000009445,VASO CRISTAL N°10 OZ 50/20 PZ                  ,$753.62,
7500000009446,VASO CRISTAL N°14 OZ 50/20 PZ                  ,"$1,091.48",
7500000009447,VASO CRISTAL N°7 OZ 50/20 PZ                    ,$568.92,
7500000009448,VASO CRISTAL CORNETO N°8 50/20 PZ          ,$585.36,
7500000009501,SALSA VALENTINA AMARILLA SOBRE 1800/5 ,$200.92,
7500000009507,FRIJ ISADORA NEGROS 24/430 GR                               ,$237.78,
7500000009508,SALSA BOTANERA CLASICA 6/4.100 LT           ,$235.23,
7500000009509,SALSA BOTANERA CLASICA 12/1 KG               ,$154.94,
7500000009568,GEL XTREME CONTROL CASPA 12/250 GR                          ,$130.77,
7500000009570,CERA MODELADORA MATE 8/0.06 KG                              ,$297.10,
7500000009648,PURE DE TOMATE COSTEÑA COND TETRA ,$117.74,
7500000009658,ENSALADA CAMPESINA DEL MONTE 24/215 GR                      ,$94.50,
7500000009681,VASO CRISTAL Nº12OZ 50/20                       ,$764.75,
7500000009691,ACEITE VICTORIA DE SOYA 12/900 ML                           ,$213.88,
7500000009781,CH MORENA RAJAS VERDES EN ESC 12/800 GR                     ,$149.82,
7500000009784,TOHU NIVEA BABY PURE& NATURAL C/BIO ,$23.48,
7500000009794,MIGUELITO ENCHILADO 48/250 GR               ,$489.82,
7500000009795,MIGUELITO FRESA 48/250 GR                       ,$489.82,
7500000009796,MIGUELITO LIMON 48/250 GR                       ,$489.82,
7500000009797,MIGUELITO MANGO 48/250 GR                      ,$489.82,
7500000009798,MIGUELITO MORA 48/250 GR                        ,$489.82,
7500000009799,MIGUELITO NARANJA 48/250 GR                   ,$489.82,
7500000009800,MIGUELITO PIÑA 48/250 GR                         ,$489.82,
7500000009801,MIGUELITO SANDIA 48/250 GR                     ,$489.82,
7500000009802,MIGUELITO TAMARINDO 48/250 GR               ,$489.82,
7500000009803,MIGUELITO UVA 48/250 GR                          ,$489.82,
7500000009849,BL GOLONDRINA 24/500 ML                                     ,$78.31,
7500000009850,BL GOLONDRINA 12/1 LT                                       ,$76.29,
7500000009851,BL GOLONDRINA 6/2 LT                                        ,$73.10,
7500000009853,BL GOLONDRINA POLVO 100/40 GR                               ,$211.78,
7500000009856,BL LA VALENCIANA 20/500 ML                                  ,$89.50,
7500000009857,BL LA VALENCIANA 12/1 LT                                    ,$89.50,
7500000009859,VINAGRE BARRILITO COLOR 6/3.9 LT            ,$139.23,
7500000009860,VINAGRE BARRILITO MANZANA 6/3.9 LT        ,$244.91,
7500000009861,BL LOS PATITOS 20/500 ML                                    ,$97.48,
7500000009862,BL LOS PATITOS 12/1  LT                                     ,$97.48,
7500000009863,BL LOS PATITOS 6/4 LT                                       ,$164.05,
7500000009865,GEL ANTIBACTERIAL SIN AGUA 12/60ML                          ,$90.19,
7500000009929,POPOTE FESTIVAL FLEXIBLE 24/50 PZ            ,$104.62,
7500000009930,FESTIVAL POPOTE FLEXIBLE 24/100                             ,$192.61,
7500000010070,JUGO JUMEX BIDA MANZANA 12/500 ML         ,$64.31,
7500000010142,GA GAMESA ANIMALITOS 5 KG                                   ,$163.41,
7500000010143,GA MARINAS BETUNADAS 1 KG                                   ,$232.02,
7500000010151,GA RICANELAS 652 GR                                         ,$453.63,
7500000010153,BARRA DE COCO 117 GR                                        ,$113.53,
7500000010186,GA CREMAX VAINILLA 213 GR                                   ,$120.14,
7500000010211,GA MAMUT 12/8/30 GR                                         ,$243.85,
7500000010214,GA CREMAX FRESA 213 GR                                      ,$116.62,
7500000010242,AGRANEL EMPANIZADOR GOLDEN FOOD 8 KG                        ,$230.99,
7500000010243,ARROZ INFLADO GOLDEN FOOD 12 KG                             ,$407.27,
7500000010286,VEL VASO TAZA GIRASOL 20 PZ                     ,$261.57,
7500000010357,ENDULZANTE SPLENDA 700 SOB                                  ,$244.91,
7500000010427,NESCAFE CLASICO 6/95 GR                           ,$196.19,
7500000010452,TF KOTEX ANAT C/A 6/40 PZAS+1CREMA ,$306.53,
7500000010560,SALSA LA BOTANERA CLASICA 12/1.5 LT        ,$214.37,
7500000010583,ACEITE COLON VEGETAL 12/890 ML                              ,$199.73,
7500000010625,JUMEX BIDA UVA 12/500ML                          ,$64.31,
7500000010641,MIGUELITO MANGO 12/950 GR                      ,$408.98,
7500000010642,MIGUELITO MORA 12/950 GR                        ,$408.98,
7500000010644,MIGUELITO TAMARINDO 12/950 GR               ,$408.98,
7500000010645,MIGUELITO PIÑA 12/950 GR                         ,$408.98,
7500000010646,MIGUELITO FRESA 12/950 GR                       ,$408.98,
7500000010648,MIGUELITO NARANJA 12/950 GR                   ,$408.98,
7500000010649,MIGUELITO SANDIA 12/950 GR                     ,$408.98,
7500000010689,CER GOLDEN FRUTI ROLLS 10/500 GR                            ,$184.90,
7500000010690,CER GOLDEN GLACS CHOCO 10/500 GR                            ,$187.43,
7500000010693,CER GOLDEN CHOCO RONIS 10/500 GR                            ,$193.91,
7500000010781,SALSA HERDEZ CASERA ROJA 12/453 GR        ,$192.80,
7500000010807,JUGO ADES DURAZNO 40/200 ML                  ,$178.33,
7500000010812,JUGO ADES MANGO 40/200 ML                      ,$178.33,
7500000010815,JUGO ADES MANZANA 40/200 ML                  ,$178.33,
7500000010823,JUGO ADES PIÑA COCO 40/200 ML                ,$171.32,
7500000010834,JUGO ADES UVA 40/200 ML                           ,$178.33,
7500000010835,JUGO ADES UVA 12/946 ML                           ,$178.33,
7500000010900,TF NATURELLA T5 & 2 ALW 10/8PZA              ,$257.06,
7500000010912,TF NATURELLA GREEN TEA 16/14 PZS            ,$392.04,
7500000010981,HIG SUAVEL 10/4 300 HD                                      ,$142.38,
7500000011000,PROMO CAFE LEGAL 6/60/30 GR                    ,"$1,817.37",
7500000011020,GA SAUROS MULTIPACK 20/348 GR                               ,$264.98,
7500000011034,LIM EFICAZ LIMON 12/750 ML                       ,$231.89,
7500000011057,SERVITOALLA KLEENEX 6/2 PZ 72HJ              ,$261.97,
7500000011130,MEDIA CREMA NESTLE 1 KG                          ,$477.41,
7500000011133,GELATINA GARI COCO 50/140 GR                                ,$401.84,
7500000011142,DT ARIEL REGULAR PWD 9/1.100 KG                             ,$295.78,
7500000011188,MIEL CARLOTA ABEJA DESPACH 335 GR         ,$538.58,
7500000011252,TENEDOR PASTELERO PLASTIKIN 60/50         ,$279.47,
7500000011253,TENEDOR MEDIANO PLASTIKIN 40/25            ,$165.79,
7500000011254,MOLDE PARA GELATINA 10 20/50 PZAS          ,$203.10,
7500000011255,TENEDOR SOPERO PLASTIKIN 40/25              ,$245.48,
7500000011256,MICKEY CHAMOY 48/250 ML                         ,$405.57,
7500000011267,BL CLORALEX MASCOTAS REGULAR 15/950 ML                      ,$271.04,
7500000011386,ENSALADA HERDEZ VEGETAL 24/400 GR                           ,$241.39,
7500000011387,SALSA HERDEZ VERDE 240 GR                       ,$143.26,
7500000011402,DT ARIEL POWDER 9/2KG                                       ,$615.46,
7500000011404,DT ARIEL REGULAR PWD 36/250 GR                              ,$339.99,
7500000011405,DT ACE REGULAR PWD 18/500GR                                 ,$273.46,
7500000011447,JUGO LA LIMONERA LIMON 12/1 LT               ,$184.56,
7500000011448,CHAMOY MEGA 12/1 KG                                         ,$167.72,
7500000011449,CHAMOY MEGA 6/4.1 KG                                        ,$266.14,
7500000011457,HIG VOGUE 80/400 HD                                         ,$453.55,
7500000011486,CHOC CHOCO MILK 40/160 GR                                   ,$587.00,
7500000011488,CAL-C-TOSE CHOC 40/160 GR                                   ,$628.53,
7500000011522,CHAMPIÑONES HERDEZ REBANADOS 24/270 GR                      ,$290.22,
7500000011647,NESCAFE CLASICO STICK 6/20/14 GR             ,$872.50,
7500000011649,NESCAFE CLASICO 30/5 GR                           ,$754.66,
7500000011651,JUGO MAGGI SAZONADOR 4/1.9 LT                ,"$1,138.48",
7500000011652,SALSA INGLESA C&B 4/1.9 LT                        ,$676.00,
7500000011653,JUGO MAGGI COCKTAIL 1.9 KG                     ,$761.84,
7500000011654,COFFE MATE STICK 200/4 GR                                   ,$581.37,
7500000011680,HERSHEY GALON 3.4 KG                                        ,$642.00,
7500000011683,NUTELLA DE CACAO 750 GR                          ,"$1,265.51",
7500000011694,JUGO JUMEX MINI MANZANA 40/200 ML         ,$173.89,
7500000011695,CERILLO FLAMITA C/50                                        ,$929.52,
7500000011723,BL CLORALEX COLOR LIQ + CLORALEX C/6                        ,$146.35,
7500000011724,BL CLORALEX MAX 600/PINOL 6/1 LT                            ,$170.07,
7500000011728,CH MORENA RODAJAS JALAP 6/2.8 KG                            ,$312.31,
7500000011749,CER CHOCO KRISPIS POPS 14/90 GR                             ,$149.85,
7500000011795,SP LUIGI FIDEO 0 20/200 GR                        ,$84.41,
7500000011796,CERA LIQ EL OSO CAFE 12/70 ML                               ,$118.98,
7500000011834,DT ARIEL REGULAR 18/500 GR                                  ,$327.69,
7500000011843,JAB KLEEN ALOE LIRIO BARRA 24/160 GR                        ,$262.10,
7500000011844,JAB KLEEN MANZ/KIWI BARRA 24/160 GR                         ,$257.79,
7500000011845,JAB KLEEN ANTIBACTERIAL BARRA 24/160 GR                     ,$261.03,
7500000011846,JAB KLEEN AROMA FLORAL BARRA 24/160 GR                      ,$261.12,
7500000011847,JAB KLEEN BODY BAL BARRA 24/160 GR                          ,$261.33,
7500000011848,JAB KLEEN PERA YOGHURT BARRA 24/160 GR                      ,$261.21,
7500000011849,JAB KLEEN ALOE 6/4/160 GR                                   ,$216.26,
7500000011851,JAB KLEEN MANZ7KIWI 6/4/160 GR                              ,$216.26,
7500000011860,JUGO JUMEX SPORT UVA TAPA 12/600 ML      ,$101.99,
7500000011861,TAS HUM HUGGIES NATURAL CARE C/40  ,$423.80,
7500000011879,GA MODERNA ANIMALITOS 5/1 KG                                ,$119.35,
7500000011882,DT LIQ MAS COLOR  CON SUAVISANTE 8/900 ML                   ,$109.38,
7500000011943,DT ACE PWD 36/250GR                                         ,$288.85,
7500000011946,DT LIQ ARIEL REG POWER 12/1 LT                              ,$690.96,
7500000012019,CH COSTEÑA JALAPEÑOS PICADOS CHAR 24/220GR                  ,$0.00,
7500000012027,CHAMOY MEGA 12/1.5 KG                                       ,$228.56,
7500000012072,PIMIENTA MC CORMICK NEGRA MOLIDA ,$64.63,
7500000012073,SAL CON AJO MC CORMICK 36/3.5 GR            ,$64.63,
7500000012208,TAMPAX SUPER 12/10 PZ                              ,$418.39,
7500000012231,MULTIBRAN PASAS 24/220 GR                       ,$402.25,
7500000012233,GA BARRA DE COCO 12/634 GR                                  ,$428.65,
7500000012239,MAMUT CHOCO BOMBON 8/390 GR                ,$250.39,
7500000012240,BARRAS DE COCO 9/845 GR                                     ,$391.28,
7500000012248,LIMP ELIK MULTIUSOS LAVANDA 12 /1 LT      ,$115.85,
7500000012249,LIMP ELIK MULTIUSOS FLORAL 12/1 LT          ,$115.85,
7500000012252,SUAVELIK PRIMAVERA 12/1 LT                      ,$132.39,
7500000012279,LIMP ELIK PINO CRISTAL 12/1 LT                  ,$132.39,
7500000012303,MOLDE GELATINERO NEON 30/25 PZAS          ,$578.99,
7500000012417,FLAN GARI FRESAS C/CREMA 50/140 GR                          ,$330.51,
7500000012418,PAÑAL SUAVELSTIC MEDIANO 4/42 PZ           ,$568.65,
7500000012447,LIMP MARAVILLOSO PINO 12/1 LT                 ,$0.00,
7500000012457,GELATINA GARI DURAZNO 10/840 GR                             ,$489.82,
7500000012458,GELATINA GARI FRESA AGUA 10/840 GR                          ,$489.82,
7500000012459,GELATINA GARI GROSELLA 10/840 GR                            ,$489.82,
7500000012460,GELATINA GARI JEREZ 10/840 GR                               ,$489.82,
7500000012461,GELATINA GARI LIMON 10/840 GR                               ,$489.82,
7500000012462,GELATINA GARI PIÑA 10/840 GR                                ,$489.82,
7500000012463,GELATINA GARI NARANJA 10/840 GR                             ,$489.82,
7500000012464,GELATINA GARI UVA 10/840 GR                                 ,$489.82,
7500000012465,GELATINA GARI FRESA LECHE 10/840 GR                         ,$489.82,
7500000012466,GELATINA AGRI VAINILLA 10/840 GR                            ,$489.82,
7500000012467,GELATINA GARI ROMPOPE 10/840 GR                             ,$489.82,
7500000012491,PILA EVEREADY GOLD AA 12/6 PZ                  ,$37.21,
7500000012493,PILA EVEREADY GOLD AAA 12/6 PZ                ,$36.62,
7500000012517,JAB LAV CORONA BLANCO C/ENV 25/400 GR                       ,$287.28,
7500000012535,DOWNY LE BRISA FRESCA 12/800 ML                             ,$196.01,
7500000012587,CAFE NESCAFE CLASICO 8/42 GR                                ,$121.27,
7500000012596,CAFE NESCAFE DOLCA 15/85 GR                                 ,$406.56,
7500000012598,COFFEE MATE ORIGINAL 9/10/34 GR                             ,$368.08,
7500000012621,SERVILLETA PETALO COLOR 24/220 HJS        ,$444.83,
7500000012643,DOWNY LE NATURAL BEAUTY 12/800 ML                           ,$215.75,
7500000012658,TF NATURELLA NOCTURNA C/A 12/8 PZ          ,$183.26,
7500000012661,LECHE NAN OPTIPRO 3 800 GR+ NESTUM 4 ,$949.80,
7500000012686,FOCO OSRAM 53 WAT=75 WAT                                    ,$827.47,
7500000012692,LIMP ELIK NARANJA 12/1 LT                         ,$132.39,
7500000012697,PROMO PAÑAL SUAVELASTIC MAX GRANDE ,$149.74,
7500000012705,CHOC CHOCOCOA 36/180 GR                                     ,$295.78,
7500000012711,GERBER CIRUELA PASA 2 ET 24/113 GR                          ,$214.00,
7500000012712,GERBER FRUT TROPICALES 2 ET 24/113 GR                       ,$214.00,
7500000012713,GERBER FRUTAS MIXTAS 2 ET 24/113 GR                         ,$213.00,
7500000012716,ACEITE DE OLIVA MIXTO PURO SAN SALVADOR 20/12/45 ML         ,$580.18,
7500000012754,VEL ARAMO ECOL PLASTICO COLORES # 7 8 ,$153.52,
7500000012758,CAFE NESCAFE CLASICO BOLSA 5/400 GR                         ,$608.71,
7500000012827,MAYONESA MC CORMICK BAJA EN GRASA ,$237.78,
7500000012833,VASO REYMA DESECHABLE NO 5/12 20/50 PZ ,$151.70,
7500000012840,GELATINA GARI CEREZA 50/140 GR                              ,$401.84,
7500000012846,DT MAESTRO LIMPIO MULTIUSOS 15/500 GR                       ,$172.31,
7500000012864,TAMPAX SUPER PLUS 12/10 PZ                      ,$419.06,
7500000012872,TOHU PICOLIN 18/80 PZ                               ,$243.31,
7500000012886,DT MAESTRO LIMPIO MULTIUSOS 12/1 KG                         ,$266.82,
7500000012890,CAFE DECAF ORIGINAL 12/8/14 GR                              ,$777.32,
7500000012891,CAFE DOLCA 6(2X170GR)                                       ,$453.53,
7500000012930,COFFE MATE 12/420 GR                                        ,$403.47,
7500000012943,GERBER PURE DE VERD POLLO/PASTA 2 ET 24/113 GR              ,$212.81,
7500000012951,TOHU DIAPRO WIPES 18/42 PZ                     ,$396.91,
7500000012957,GERBER VERD/RES Y ARROZ 2 ET 24/113 GR                      ,$212.81,
7500000012959,ENSUEÑO NAT COCO/CARITE 12/850 ML                           ,$155.57,
7500000012966,PLATO PACHANGA #10 20/25 PZ                   ,$267.55,
7500000012985,VINAGRE BARRILITO MANZANA 6/4 LT           ,$244.91,
7500000013031,LIMP ELIK MULTIUSOS MANZANA 12/1 LT       ,$132.39,
7500000013036,PROMO SALSA MAGGI DE SOYA GARRAFA 1.9 ,$0.01,
7500000013110,PROMO DT ACE NATURALS 48/250 GR           ,$268.96,
7500000013142,PROMO PÑ SUAVELASTIC MAX GRANDE 4/42 ,$542.48,
7500000013143,PROMO PÑ SUAVELASTIC MAX JUMBO 4/42 ,$586.43,
7500000013146,PROMO PÑ SUAVELASTIC MAX MED 6/14 PZ   ,$275.91,
7500000013147,PROMO PÑ SUAVELASTIC GRANDE 6/14 PZ     ,$284.18,
7500000013150,PROMO PÑ SUAVELASTIC MAX MED 4/38 PZ   ,$501.75,
7500000013152,PROMO TF SABA INTIMA REG S/A 14/10 PZ    ,$119.77,
7500000013154,PROMO TF SABA CONF MANZ DELG C/A ,$124.56,
7500000013161,LECHE NIDO CLASICA 1.68 + NESTUM 370 ,$585.00,
7500000013165,PROMO MAYONESA MC CORMICK #16 12/390 ,$276.38,
7500000013173,DET LIQ ACE POWER 12/1 LT                                   ,$593.78,
7500000013210,JUGO ADES MANZANA 24/330 ML                  ,$95.11,
7500000013212,JUGO ADES DURAZNO 24/330 ML                  ,$95.11,
7500000013215,ARROZ KNORR A LA ESPAÑOLA 12/155 GR                         ,$178.33,
7500000013250,PROMO MAYONESA MC CORMICK #8 24/190 ,$303.93,
7500000013253,GERBER VERD/JAMON 2 ET 24/113 GR                            ,$212.81,
7500000013254,GERBER PURE DE FRUTAS SURTIDO 4(6)113 GR                    ,$197.91,
7500000013255,GERBER SURTIDO ET JNR 8 (6)110 GR                           ,$404.80,
7500000013256,GERBER GUAYABA 2 ET 24/113 GR                               ,$214.00,
7500000013260,VEL ARAMO VASO 100 EXPORTACION V. DE ,$171.66,
7500000013283,PROMO JUGO DE ARANDANO OCEAN 12/1 LT  ,$217.80,
7500000013366,PROMO CAL-C-TOSE BOLSA 24/400 GR           ,$695.93,
7500000013367,PROMO CAL-C-TOSE LATA 24/400 GR             ,$861.56,
7500000013462,PROMO GERBER PURE DE FRUTAS SURTIDO ,$182.72,
7500000013504,JUMEX MINI UVA 40/200 ML                          ,$173.89,
7500000013520,LECHERA LIGHT 24/397 GR                           ,$142.67,
7500000013522,PROMO LECHE NIDO CLASICA 24/360 GR       ,$601.24,
7500000013523,PROMO LECHE NIDO 12/840 GR                    ,$711.49,
7500000013540,NESCAFE CLASICO 12/225 GR                       ,$951.11,
7500000013541,SALSA CATSUP COSTEÑA 12/680 GR              ,$230.73,
7500000013611,PROMO CAFE NESCAFE CLASICO 4/1 KG         ,$0.00,
7500000013620,KNORR SUIZA 6/50 ESTUCHES                      ,$712.14,
7500000013634,CERVEZA MODELO NEGRA LATA 24/355 ML                         ,$279.39,
7500000013657,PROMO PÑ SUAVELASTIC MAX GRANDE 4/42 ,$475.54,
7500000013664,CERVEZA CORONA CLARA 12/355 ML                              ,$131.97,
7500000013716,CERVEZA MODELO ESPECIAL LATA 18/355 ML                      ,$202.11,
7500000013726,NESCAFE CLASICO 6/1.2 KG                          ,"$1,653.63",
